"SortOrder1","Goal","Target","Indicator","Series Code","Series Description","SortOrder2","Country or Area","SIDS","LDC","LLDC","Frequency","Unit","Location","Age Group","Sex","Source Type","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020806","State of Palestine","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","172.00","E, 1","4.00","E, 1","","","12.00","E, 1","","","4.00","E, 1","4.00","E, 1","","","10.00","E, 1","714.00","E, 1","301.00","E, 1","","","155.00","E, 1","1,478.00","E, 1"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020240","Senegal","False","True","False","Annual","Number (Units)","Total","Total","Total","Not available","","","","","","","1,201.00","E, 1","","","12,822.00","E, 1","14.00","E, 1","10.00","E, 1","100,128.00","E, 1","112,228.00","E, 1","3,161.00","E, 1","1,582.00","E, 1","2,693.00","E, 1","19,135.00","E, 1"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020916","Solomon Islands","True","True","False","Annual","Number (Units)","Total","Total","Total","Not available","","","","","790.00","E, 1","940.00","E, 1","","","","","","","39,752.00","E, 1","200.00","E, 1","138.00","E, 1","1,666.00","E, 1","36.00","E, 1","233.00","E, 1","4,800.00","E, 1"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020242","Sierra Leone","False","True","False","Annual","Number (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","173.00","E, 1","","","","","641.00","E, 1","1,280.00","E, 1","1,189.00","E, 1","1,327.00","E, 1","8,447.00","E, 1"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020321","El Salvador","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","3,123.00","E, 1","1,332,207.00","E, 1","20.00","E, 1","7,957.00","E, 1","3,637.00","E, 1","131,988.00","E, 1","20,258.00","E, 1","11,321.00","E, 1","39,239.00","E, 1","7,759.00","E, 1","40,461.00","E, 1","92,213.00","E, 1","757.00","E, 1","72.00","E, 1"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01014600","Serbia","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","4,967.00","E, 1","7,283.00","E, 1","4,708.00","E, 1","638.00","E, 1","","","17,031.00","E, 1","16,397.00","E, 1","22,253.00","E, 1","272.00","E, 1","9,927.00","E, 1","88,089.00","E, 1","17,725.00","E, 1","12,364.00","E, 1","1,918.00","E, 1"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020241","Seychelles","True","False","False","Annual","Number (Units)","Total","Total","Total","Not available","84.00","E, 1","96.00","E, 1","416.00","E, 1","244.00","E, 1","688.00","E, 1","132.00","E, 1","184.00","E, 1","168.00","E, 1","44.00","E, 1","68.00","E, 1","48.00","E, 1","88.00","E, 1","125.00","E, 1","3,960.00","E, 1"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020810","Syrian Arab Republic","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","353.00","E, 1","82.00","E, 1","8,642.00","E, 1","1,019.00","E, 1","1,582.00","E, 1","650.00","E, 1","1,323.00","E, 1","442.00","E, 1","935.00","E, 1","196.00","E, 1","","","","","","","",""
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020710","Timor-Leste","True","True","False","Annual","Number (Units)","Total","Total","Total","Not available","","","528.00","E, 1","348.00","E, 1","7,612.00","E, 1","2,472.00","E, 1","","","4,388.00","E, 1","19,684.00","E, 1","1,151.00","E, 1","1,519.00","E, 1","20,527.00","E, 1","2,526.00","E, 1","4,028.00","E, 1","10,571.00","E, 1"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020918","Tonga","True","False","False","Annual","Number (Units)","Total","Total","Total","Not available","","","2,400.00","E, 1","","","","","","","","","5.00","E, 1","","","","","2,375.00","E, 1","1,376.00","E, 1","345.00","E, 1","700.00","E, 1","",""
